Name;Position;Age;Team_from;League_from;Team_to;League_to;Season;Market_value;Transfer_fee;ROI;PV
Mesut Özil;Attacking Midfield;21;Werder Bremen;1.Bundesliga;Real Madrid;LaLiga;2010-2011;27000000;18000000;-0.333333333333333;-9000000
Giampaolo Pazzini;Centre-Forward;26;Sampdoria;Serie A;Inter;Serie A;2010-2011;19000000;18000000;-0.0526315789473684;-1000000
Robinho;Left Winger;26;Man City;Premier League;AC Milan;Serie A;2010-2011;15000000;18000000;0.2;3000000
Ashley Young;Left Midfield;25;Aston Villa;Premier League;Man Utd;Premier League;2011-2012;18000000;18000000;0;0
Gökhan Inler;Defensive Midfield;27;Udinese Calcio;Serie A;SSC Napoli;Serie A;2011-2012;15000000;18000000;0.2;3000000
Jordan Henderson;Central Midfield;21;Sunderland;Premier League;Liverpool;Premier League;2011-2012;8500000;18000000;1.11764705882353;9500000
Kwadwo Asamoah;Left-Back;23;Udinese Calcio;Serie A;Juventus;Serie A;2012-2013;15000000;18000000;0.2;3000000
Lacina Traoré;Centre-Forward;22;Kuban Krasnodar;Premier Liga;Anzhi;Premier Liga;2012-2013;7000000;18000000;1.57142857142857;11000000
Hernanes;Attacking Midfield;28;Lazio;Serie A;Inter;Serie A;2013-2014;22000000;18000000;-0.181818181818182;-4000000
José Salomón Rondón;Centre-Forward;24;Rubin Kazan;Premier Liga;Zenit S-Pb;Premier Liga;2013-2014;11000000;18000000;0.636363636363636;7000000
Ivan Rakitic;Central Midfield;26;Sevilla FC;LaLiga;FC Barcelona;LaLiga;2014-2015;20000000;18000000;-0.1;-2000000
Alberto Moreno;Left-Back;22;Sevilla FC;LaLiga;Liverpool;Premier League;2014-2015;15000000;18000000;0.2;3000000
Gervinho;Left Winger;28;AS Roma;Serie A;HB CFFC;Super League;2015-2016;15000000;18000000;0.2;3000000
Matteo Darmian;Right-Back;25;Torino;Serie A;Man Utd;Premier League;2015-2016;12000000;18000000;0.5;6000000
Simone Zaza;Centre-Forward;24;Sassuolo;Serie A;Juventus;Serie A;2015-2016;11000000;18000000;0.636363636363636;7000000
Sergej Milinkovic-Savic;Central Midfield;20;KRC Genk;Jupiler Pro League;Lazio;Serie A;2015-2016;4000000;18000000;3.5;14000000
Claudio Bravo;Goalkeeper;33;FC Barcelona;LaLiga;Man City;Premier League;2016-2017;15000000;18000000;0.2;3000000
Nolito;Left Winger;29;Celta de Vigo;LaLiga;Man City;Premier League;2016-2017;15000000;18000000;0.2;3000000
Aleksandar Dragovic;Centre-Back;25;Dynamo Kyiv;Premier Liga;Bay. Leverkusen;1.Bundesliga;2016-2017;15000000;18000000;0.2;3000000
Leonardo Pavoletti;Centre-Forward;28;Genoa;Serie A;SSC Napoli;Serie A;2016-2017;13000000;18000000;0.384615384615385;5000000
Jordon Ibe;Right Winger;20;Liverpool;Premier League;Bournemouth;Premier League;2016-2017;7000000;18000000;1.57142857142857;11000000
Alexandre Pato;Centre-Forward;27;Villarreal CF;LaLiga;TJ Quanjian;Super League;2016-2017;6000000;18000000;2;12000000
Borja Bastón;Centre-Forward;23;Atlético Madrid;LaLiga;Swansea;Premier League;2016-2017;5000000;18000000;2.6;13000000
Mateo Musacchio;Centre-Back;26;Villarreal CF;LaLiga;AC Milan;Serie A;2017-2018;18000000;18000000;0;0
Karl Toko Ekambi;Centre-Forward;25;SCO Angers;Ligue 1;Villarreal CF;LaLiga;2018-2019;18000000;18000000;0;0
Mohamed Elyounoussi;Left Winger;23;FC Basel;Super League;Southampton;Premier League;2018-2019;8500000;18000000;1.11764705882353;9500000
Angelo Peruzzi;Goalkeeper;30;Inter;Serie A;Lazio;Serie A;2000-2001;NA;17900000;NA;NA
Sergio;Central Midfield;24;Espanyol;LaLiga;Dep. La Coruña;LaLiga;2001-2002;NA;17900000;NA;NA
Oumar Niasse;Centre-Forward;25;Loko Moscow;Premier Liga;Everton;Premier League;2015-2016;10000000;17900000;0.79;7900000
Rúben Neves;Defensive Midfield;20;FC Porto;Liga NOS;Wolves;Championship;2017-2018;10000000;17900000;0.79;7900000
Yuhao Zhao;Defensive Midfield;23;ZJ Greentown;League One;HB CFFC;Super League;2016-2017;100000;17800000;177;17700000
Chicharito;Centre-Forward;29;Bay. Leverkusen;1.Bundesliga;West Ham;Premier League;2017-2018;18000000;17800000;-0.0111111111111111;-200000
Diego Tristán;Centre-Forward;24;RCD Mallorca;LaLiga;Dep. La Coruña;LaLiga;2000-2001;NA;17750000;NA;NA
Nathaniel Clyne;Right-Back;24;Southampton;Premier League;Liverpool;Premier League;2015-2016;17000000;17700000;0.0411764705882353;700000
Steve Marlet;Centre-Forward;27;Olympique Lyon;Ligue 1;Fulham;Premier League;2001-2002;NA;17600000;NA;NA
Wilfred Ndidi;Defensive Midfield;20;KRC Genk;Jupiler Pro League;Leicester;Premier League;2016-2017;8000000;17600000;1.2;9600000
Sylvain Wiltord;Second Striker;26;G. Bordeaux;Ligue 1;Arsenal;Premier League;2000-2001;NA;17500000;NA;NA
Fernando Redondo;Defensive Midfield;31;Real Madrid;LaLiga;AC Milan;Serie A;2000-2001;NA;17500000;NA;NA
Louis Saha;Centre-Forward;25;Fulham;Premier League;Man Utd;Premier League;2003-2004;NA;17500000;NA;NA
Kevin Strootman;Central Midfield;23;PSV Eindhoven;Eredivisie;AS Roma;Serie A;2013-2014;13000000;17500000;0.346153846153846;4500000
Andy Carroll;Centre-Forward;24;Liverpool;Premier League;West Ham;Premier League;2013-2014;11000000;17500000;0.590909090909091;6500000
Daley Blind;Left-Back;24;AFC Ajax;Eredivisie;Man Utd;Premier League;2014-2015;12000000;17500000;0.458333333333333;5500000
Panagiotis Retsos;Centre-Back;19;Olympiacos;Super League;Bay. Leverkusen;1.Bundesliga;2017-2018;5000000;17500000;2.5;12500000
Roman Pavlyuchenko;Centre-Forward;26;Spartak Moscow;Premier Liga;Spurs;Premier League;2008-2009;8000000;17400000;1.175;9400000
Ryan Babel;Left Winger;20;AFC Ajax;Eredivisie;Liverpool;Premier League;2007-2008;8000000;17250000;1.15625;9250000
Justin Kluivert;Left Winger;19;AFC Ajax;Eredivisie;AS Roma;Serie A;2018-2019;15000000;17250000;0.15;2250000
Marco Reus;Left Winger;23;Bor. M'gladbach;1.Bundesliga;Bor. Dortmund;1.Bundesliga;2012-2013;20000000;17100000;-0.145;-2900000
Britt Assombalonga;Centre-Forward;24;Nottm Forest;Championship;Middlesbrough;Championship;2017-2018;5000000;17100000;2.42;12100000
Jardel;Centre-Forward;26;FC Porto;Liga NOS;Galatasaray;Süper Lig;2000-2001;NA;17050000;NA;NA
Nuno Gomes;Centre-Forward;24;Benfica;Liga NOS;Fiorentina;Serie A;2000-2001;NA;17000000;NA;NA
Sérgio Conceição;Right Winger;25;Lazio;Serie A;Parma;Serie A;2000-2001;NA;17000000;NA;NA
Philippe Christanval;Centre-Back;22;Monaco;Ligue 1;FC Barcelona;LaLiga;2001-2002;NA;17000000;NA;NA
Evanilson;Right-Back;25;Bor. Dortmund;1.Bundesliga;Parma;Serie A;2001-2002;NA;17000000;NA;NA
Stefano Fiore;Attacking Midfield;29;Lazio;Serie A;Valencia CF;LaLiga;2004-2005;NA;17000000;NA;NA
Afonso Alves;Centre-Forward;26;Heerenveen;Eredivisie;Middlesbrough;Premier League;2007-2008;13000000;17000000;0.307692307692308;4000000
Aleksandr Hleb;Attacking Midfield;27;Arsenal;Premier League;FC Barcelona;LaLiga;2008-2009;19000000;17000000;-0.105263157894737;-2000000
Luiz Gustavo;Defensive Midfield;23;TSG Hoffenheim;1.Bundesliga;Bayern Munich;1.Bundesliga;2010-2011;6500000;17000000;1.61538461538462;10500000
Érik Lamela;Right Winger;19;River Plate;Primera B Nacional;AS Roma;Serie A;2011-2012;5000000;17000000;2.4;12000000
Xherdan Shaqiri;Right Winger;23;Inter;Serie A;Stoke City;Premier League;2015-2016;17000000;17000000;0;0
José Salomón Rondón;Centre-Forward;25;Zenit S-Pb;Premier Liga;West Brom;Premier League;2015-2016;15000000;17000000;0.133333333333333;2000000
Aleix Vidal;Right Winger;25;Sevilla FC;LaLiga;FC Barcelona;LaLiga;2015-2016;10000000;17000000;0.7;7000000
Manolo Gabbiadini;Centre-Forward;25;SSC Napoli;Serie A;Southampton;Premier League;2016-2017;15000000;17000000;0.133333333333333;2000000
Lucas Biglia;Defensive Midfield;31;Lazio;Serie A;AC Milan;Serie A;2017-2018;20000000;17000000;-0.15;-3000000
Olivier Giroud;Centre-Forward;31;Arsenal;Premier League;Chelsea;Premier League;2017-2018;20000000;17000000;-0.15;-3000000
Medhi Benatia;Centre-Back;30;Bayern Munich;1.Bundesliga;Juventus;Serie A;2017-2018;15000000;17000000;0.133333333333333;2000000
Matthias Ginter;Centre-Back;23;Bor. Dortmund;1.Bundesliga;Bor. M'gladbach;1.Bundesliga;2017-2018;15000000;17000000;0.133333333333333;2000000
John Anthony Brooks;Centre-Back;24;Hertha BSC;1.Bundesliga;VfL Wolfsburg;1.Bundesliga;2017-2018;14000000;17000000;0.214285714285714;3000000
Jürgen Locadia;Centre-Forward;24;PSV Eindhoven;Eredivisie;Brighton;Premier League;2017-2018;8500000;17000000;1;8500000
Mario Lemina;Defensive Midfield;23;Juventus;Serie A;Southampton;Premier League;2017-2018;7500000;17000000;1.26666666666667;9500000
Jhon Córdoba;Centre-Forward;24;1.FSV Mainz 05;1.Bundesliga;1. FC Köln;1.Bundesliga;2017-2018;7000000;17000000;1.42857142857143;10000000
Ismaïla Sarr;Left Winger;19;FC Metz;Ligue 1;Stade Rennais;Ligue 1;2017-2018;2500000;17000000;5.8;14500000
Duván Zapata;Centre-Forward;27;SSC Napoli;Serie A;Sampdoria;Serie A;2018-2019;20000000;17000000;-0.15;-3000000
Ross Barkley;Attacking Midfield;24;Everton;Premier League;Chelsea;Premier League;2017-2018;25000000;16900000;-0.324;-8100000
Yves Bissouma;Central Midfield;21;LOSC Lille;Ligue 1;Brighton;Premier League;2018-2019;8000000;16900000;1.1125;8900000
Robbie Fowler;Centre-Forward;26;Liverpool;Premier League;Leeds;Premier League;2001-2002;NA;16800000;NA;NA
Abdul Kader Keita;Right Winger;25;LOSC Lille;Ligue 1;Olympique Lyon;Ligue 1;2007-2008;18000000;16800000;-0.0666666666666667;-1200000
Javi García;Defensive Midfield;27;Man City;Premier League;Zenit S-Pb;Premier Liga;2014-2015;12000000;16800000;0.4;4800000
Franco Vázquez;Attacking Midfield;27;US Palermo;Serie A;Sevilla FC;LaLiga;2016-2017;15000000;16800000;0.12;1800000
Robbie Keane;Centre-Forward;28;Liverpool;Premier League;Spurs;Premier League;2008-2009;21000000;16700000;-0.204761904761905;-4300000
Gerson;Right Winger;19;Fluminense;Série A;AS Roma;Serie A;2016-2017;6000000;16600000;1.76666666666667;10600000
Alfonso;Centre-Forward;27;Real Betis;LaLiga2;FC Barcelona;LaLiga;2000-2001;NA;16500000;NA;NA
Yakubu Aiyegbeni;Centre-Forward;24;Middlesbrough;Premier League;Everton;Premier League;2007-2008;12000000;16500000;0.375;4500000
Andrey Arshavin;Second Striker;27;Zenit S-Pb;Premier Liga;Arsenal;Premier League;2008-2009;24000000;16500000;-0.3125;-7500000
Martín Cáceres;Right-Back;21;Villarreal CF;LaLiga;FC Barcelona;LaLiga;2008-2009;6000000;16500000;1.75;10500000
Nilmar;Centre-Forward;25;Internacional;Série A;Villarreal CF;LaLiga;2009-2010;11000000;16500000;0.5;5500000
Mohamed Salah;Right Winger;21;FC Basel;Super League;Chelsea;Premier League;2013-2014;8500000;16500000;0.941176470588235;8000000
Lucas Digne;Left-Back;22;Paris SG;Ligue 1;FC Barcelona;LaLiga;2016-2017;12000000;16500000;0.375;4500000
Dani Ceballos;Central Midfield;20;Real Betis;LaLiga;Real Madrid;LaLiga;2017-2018;10000000;16500000;0.65;6500000
Jermain Defoe;Centre-Forward;26;Portsmouth;Premier League;Spurs;Premier League;2008-2009;11000000;16400000;0.490909090909091;5400000
Wesley Hoedt;Centre-Back;23;Lazio;Serie A;Southampton;Premier League;2017-2018;7500000;16400000;1.18666666666667;8900000
Chris Wood;Centre-Forward;25;Leeds;Championship;Burnley;Premier League;2017-2018;6000000;16400000;1.73333333333333;10400000
Sam Clucas;Left Midfield;26;Hull City;Championship;Swansea;Premier League;2017-2018;2500000;16300000;5.52;13800000
Francisco Farinós;Defensive Midfield;22;Valencia CF;LaLiga;Inter;Serie A;2000-2001;NA;16250000;NA;NA
Miralem Sulejmani;Left Midfield;19;Heerenveen;Eredivisie;AFC Ajax;Eredivisie;2008-2009;8500000;16250000;0.911764705882353;7750000
Aly Cissokho;Left-Back;21;FC Porto;Liga NOS;Olympique Lyon;Ligue 1;2009-2010;12000000;16200000;0.35;4200000
Kakhaber Kaladze;Centre-Back;22;Dynamo Kyiv;Premier Liga;AC Milan;Serie A;2000-2001;NA;16000000;NA;NA
Frank Lampard;Central Midfield;23;West Ham;Premier League;Chelsea;Premier League;2001-2002;NA;16000000;NA;NA
Javi Moreno;Centre-Forward;26;Alavés;LaLiga;AC Milan;Serie A;2001-2002;NA;16000000;NA;NA
Xabi Alonso;Defensive Midfield;22;Real Sociedad;LaLiga;Liverpool;Premier League;2004-2005;NA;16000000;NA;NA
Matteo Brighi;Central Midfield;23;Juventus;Serie A;AS Roma;Serie A;2004-2005;NA;16000000;NA;NA
Zlatan Ibrahimovic;Centre-Forward;22;AFC Ajax;Eredivisie;Juventus;Serie A;2004-2005;NA;16000000;NA;NA
Maniche;Central Midfield;27;FC Porto;Liga NOS;Dinamo Moscow;Premier Liga;2005-2006;18000000;16000000;-0.111111111111111;-2000000
Wálter Samuel;Centre-Back;27;Real Madrid;LaLiga;Inter;Serie A;2005-2006;17000000;16000000;-0.0588235294117647;-1000000
Émerson;Defensive Midfield;30;Juventus;Serie B;Real Madrid;LaLiga;2006-2007;26000000;16000000;-0.384615384615385;-10000000
Obafemi Martins;Centre-Forward;21;Inter;Serie A;Newcastle;Premier League;2006-2007;12000000;16000000;0.333333333333333;4000000
Cristian Chivu;Centre-Back;26;AS Roma;Serie A;Inter;Serie A;2007-2008;15000000;16000000;0.0666666666666667;1000000
Samir Nasri;Left Winger;21;Marseille;Ligue 1;Arsenal;Premier League;2008-2009;15000000;16000000;0.0666666666666667;1000000
André-Pierre Gignac;Centre-Forward;24;Toulouse;Ligue 1;Marseille;Ligue 1;2010-2011;14500000;16000000;0.103448275862069;1500000
Asamoah Gyan;Centre-Forward;24;Stade Rennais;Ligue 1;Sunderland;Premier League;2010-2011;11000000;16000000;0.454545454545455;5000000
Daniel Osvaldo;Centre-Forward;25;Espanyol;LaLiga;AS Roma;Serie A;2011-2012;10000000;16000000;0.6;6000000
Shinji Kagawa;Attacking Midfield;23;Bor. Dortmund;1.Bundesliga;Man Utd;Premier League;2012-2013;22000000;16000000;-0.272727272727273;-6000000
Luiz Gustavo;Defensive Midfield;26;Bayern Munich;1.Bundesliga;VfL Wolfsburg;1.Bundesliga;2013-2014;18000000;16000000;-0.111111111111111;-2000000
Wilfried Bony;Centre-Forward;24;Vitesse;Eredivisie;Swansea;Premier League;2013-2014;12000000;16000000;0.333333333333333;4000000
Jan Oblak;Goalkeeper;21;Benfica;Liga NOS;Atlético Madrid;LaLiga;2014-2015;4000000;16000000;3;12000000
Filipe Luís;Left-Back;29;Chelsea;Premier League;Atlético Madrid;LaLiga;2015-2016;15000000;16000000;0.0666666666666667;1000000
Toby Alderweireld;Centre-Back;26;Atlético Madrid;LaLiga;Spurs;Premier League;2015-2016;15000000;16000000;0.0666666666666667;1000000
Moussa Sow;Centre-Forward;29;Fenerbahce;Süper Lig;Al-Ahli (UAE);UAE Gulf League;2015-2016;13000000;16000000;0.230769230769231;3000000
Jonjo Shelvey;Central Midfield;23;Swansea;Premier League;Newcastle;Premier League;2015-2016;12000000;16000000;0.333333333333333;4000000
Roberto Soldado;Centre-Forward;30;Spurs;Premier League;Villarreal CF;LaLiga;2015-2016;10000000;16000000;0.6;6000000
Memphis Depay;Left Winger;22;Man Utd;Premier League;Olympique Lyon;Ligue 1;2016-2017;25000000;16000000;-0.36;-9000000
Rafa Silva;Right Winger;23;Braga;Liga NOS;Benfica;Liga NOS;2016-2017;15000000;16000000;0.0666666666666667;1000000
Sime Vrsaljko;Right-Back;24;Sassuolo;Serie A;Atlético Madrid;LaLiga;2016-2017;13000000;16000000;0.230769230769231;3000000
Simone Zaza;Centre-Forward;26;Juventus;Serie A;Valencia CF;LaLiga;2017-2018;15000000;16000000;0.0666666666666667;1000000
Yuri Berchiche;Left-Back;27;Real Sociedad;LaLiga;Paris SG;Ligue 1;2017-2018;10000000;16000000;0.6;6000000
Emanuel Mammana;Centre-Back;21;Olympique Lyon;Ligue 1;Zenit S-Pb;Premier Liga;2017-2018;7000000;16000000;1.28571428571429;9000000
Badou Ndiaye;Central Midfield;27;Galatasaray;Süper Lig;Stoke City;Premier League;2017-2018;7000000;16000000;1.28571428571429;9000000
Jean-Kévin Augustin;Centre-Forward;20;Paris SG;Ligue 1;RB Leipzig;1.Bundesliga;2017-2018;3000000;16000000;4.33333333333333;13000000
Lautaro Martínez;Centre-Forward;20;Racing Club;Primera División;Inter;Serie A;2018-2019;25000000;16000000;-0.36;-9000000
Sokratis;Centre-Back;30;Bor. Dortmund;1.Bundesliga;Arsenal;Premier League;2018-2019;20000000;16000000;-0.2;-4000000
Daley Blind;Left-Back;28;Man Utd;Premier League;AFC Ajax;Eredivisie;2018-2019;18000000;16000000;-0.111111111111111;-2000000
Nordi Mukiele;Right-Back;20;Montpellier;Ligue 1;RB Leipzig;1.Bundesliga;2018-2019;14000000;16000000;0.142857142857143;2000000
Bernardo Silva;Right Winger;20;Benfica;Liga NOS;Monaco;Ligue 1;2014-2015;3500000;15750000;3.5;12250000
Dimitar Berbatov;Centre-Forward;25;Bay. Leverkusen;1.Bundesliga;Spurs;Premier League;2006-2007;17000000;15700000;-0.0764705882352941;-1300000
Andros Townsend;Right Winger;24;Spurs;Premier League;Newcastle;Premier League;2015-2016;8000000;15700000;0.9625;7700000
Virgil van Dijk;Centre-Back;24;Celtic;Premiership;Southampton;Premier League;2015-2016;5000000;15700000;2.14;10700000
Fred;Centre-Forward;21;Cruzeiro;Série A;Olympique Lyon;Ligue 1;2005-2006;7500000;15600000;1.08;8100000
Andros Townsend;Right Winger;24;Newcastle;Championship;Crystal Palace;Premier League;2016-2017;9000000;15600000;0.733333333333333;6600000
Luca Toni;Centre-Forward;24;Vicenza;Serie B;Brescia;Serie A;2001-2002;NA;15500000;NA;NA
Cristian Zenoni;Right-Back;24;AC Milan;Serie A;Juventus;Serie A;2001-2002;NA;15500000;NA;NA
Damien Duff;Right Midfield;27;Chelsea;Premier League;Newcastle;Premier League;2006-2007;15000000;15500000;0.0333333333333333;500000
Craig Bellamy;Left Winger;29;West Ham;Premier League;Man City;Premier League;2008-2009;7500000;15500000;1.06666666666667;8000000
Diego;Attacking Midfield;25;Juventus;Serie A;VfL Wolfsburg;1.Bundesliga;2010-2011;24000000;15500000;-0.354166666666667;-8500000
Loïc Rémy;Centre-Forward;23;OGC Nice;Ligue 1;Marseille;Ligue 1;2010-2011;12000000;15500000;0.291666666666667;3500000
Leonardo Bonucci;Centre-Back;23;Bari;Serie A;Juventus;Serie A;2010-2011;8000000;15500000;0.9375;7500000
Alessandro Matri;Centre-Forward;26;Cagliari Calcio;Serie A;Juventus;Serie A;2011-2012;16500000;15500000;-0.0606060606060606;-1000000
Stephan El Shaarawy;Left Winger;18;Genoa;Serie A;AC Milan;Serie A;2011-2012;7000000;15500000;1.21428571428571;8500000
Mario Gómez;Centre-Forward;28;Bayern Munich;1.Bundesliga;Fiorentina;Serie A;2013-2014;28000000;15500000;-0.446428571428571;-12500000
Joe Allen;Central Midfield;26;Liverpool;Premier League;Stoke City;Premier League;2016-2017;8000000;15500000;0.9375;7500000
Nampalys Mendy;Defensive Midfield;24;OGC Nice;Ligue 1;Leicester;Premier League;2016-2017;7500000;15500000;1.06666666666667;8000000
Ryan Mason;Central Midfield;25;Spurs;Premier League;Hull City;Premier League;2016-2017;7500000;15400000;1.05333333333333;7900000
Francis Jeffers;Centre-Forward;20;Everton;Premier League;Arsenal;Premier League;2000-2001;NA;15300000;NA;NA
James McCarthy;Central Midfield;22;Wigan;Championship;Everton;Premier League;2013-2014;7500000;15300000;1.04;7800000
Graziano Pellè;Centre-Forward;31;Southampton;Premier League;SD Luneng;Super League;2016-2017;11000000;15250000;0.386363636363636;4250000
Taison;Left Winger;25;Metalist;Premier Liga;Shakhtar D.;Premier Liga;2012-2013;12000000;15240000;0.27;3240000
Gastón Ramírez;Attacking Midfield;21;Bologna;Serie A;Southampton;Premier League;2012-2013;13500000;15200000;0.125925925925926;1700000
Steven Fletcher;Centre-Forward;25;Wolves;Championship;Sunderland;Premier League;2012-2013;6000000;15200000;1.53333333333333;9200000
Matija Nastasic;Centre-Back;19;Fiorentina;Serie A;Man City;Premier League;2012-2013;5500000;15200000;1.76363636363636;9700000
Konstantinos Mitroglou;Centre-Forward;25;Olympiacos;Super League;Fulham;Premier League;2013-2014;7200000;15200000;1.11111111111111;8000000
Nacer Chadli;Left Winger;27;Spurs;Premier League;West Brom;Premier League;2016-2017;13000000;15200000;0.169230769230769;2200000
Oliver Burke;Right Winger;19;Nottm Forest;Championship;RB Leipzig;1.Bundesliga;2016-2017;250000;15200000;59.8;14950000
Oliver Burke;Right Winger;20;RB Leipzig;1.Bundesliga;West Brom;Premier League;2017-2018;7000000;15200000;1.17142857142857;8200000
Daniel Osvaldo;Centre-Forward;27;AS Roma;Serie A;Southampton;Premier League;2013-2014;17000000;15100000;-0.111764705882353;-1900000
Robbie Brady;Left Midfield;25;Norwich;Championship;Burnley;Premier League;2016-2017;8000000;15100000;0.8875;7100000
Luka Milivojevic;Defensive Midfield;25;Olympiacos;Super League;Crystal Palace;Premier League;2016-2017;8000000;15100000;0.8875;7100000
Fernando Llorente;Centre-Forward;32;Swansea;Premier League;Spurs;Premier League;2017-2018;6000000;15100000;1.51666666666667;9100000
Emmanuel Petit;Defensive Midfield;29;Arsenal;Premier League;FC Barcelona;LaLiga;2000-2001;NA;15000000;NA;NA
Darko Kovacevic;Centre-Forward;27;Juventus;Serie A;Lazio;Serie A;2001-2002;NA;15000000;NA;NA
Michalis Konstantinou;Centre-Forward;23;Iraklis;Super League;Panathinaikos;Super League;2001-2002;NA;15000000;NA;NA
Massimo Donati;Defensive Midfield;20;Atalanta;Serie A;AC Milan;Serie A;2001-2002;NA;15000000;NA;NA
Nicolas Anelka;Centre-Forward;23;Paris SG;Ligue 1;Man City;Premier League;2002-2003;NA;15000000;NA;NA
Albert Luque;Left Winger;24;RCD Mallorca;LaLiga;Dep. La Coruña;LaLiga;2002-2003;NA;15000000;NA;NA
El-Hadji Diouf;Centre-Forward;21;Lens;Ligue 1;Liverpool;Premier League;2002-2003;NA;15000000;NA;NA
Geovanni;Attacking Midfield;23;FC Barcelona;LaLiga;Benfica;Liga NOS;2003-2004;NA;15000000;NA;NA
Evanilson;Right-Back;27;Parma;Serie A;Bor. Dortmund;1.Bundesliga;2003-2004;NA;15000000;NA;NA
Carlos Tévez;Second Striker;20;Boca Juniors;Argentina;Corinthians;Série A;2004-2005;15000000;15000000;0;0
Tiago;Central Midfield;23;Benfica;Liga NOS;Chelsea;Premier League;2004-2005;NA;15000000;NA;NA
Jermaine Jenas;Central Midfield;22;Newcastle;Premier League;Spurs;Premier League;2005-2006;9000000;15000000;0.666666666666667;6000000
Aleksandr Hleb;Attacking Midfield;24;VfB Stuttgart;1.Bundesliga;Arsenal;Premier League;2005-2006;8500000;15000000;0.764705882352941;6500000
Ruud van Nistelrooy;Centre-Forward;30;Man Utd;Premier League;Real Madrid;LaLiga;2006-2007;32000000;15000000;-0.53125;-17000000
Ricardo Oliveira;Centre-Forward;26;Real Betis;LaLiga;AC Milan;Serie A;2006-2007;6000000;15000000;1.5;9000000
Miroslav Klose;Centre-Forward;29;Werder Bremen;1.Bundesliga;Bayern Munich;1.Bundesliga;2007-2008;23000000;15000000;-0.347826086956522;-8000000
Éric Abidal;Left-Back;27;Olympique Lyon;Ligue 1;FC Barcelona;LaLiga;2007-2008;13500000;15000000;0.111111111111111;1500000
Mauro Zárate;Second Striker;20;Vélez Sarsfield;Torneo Final;Al Sadd;Qatar;2007-2008;7500000;15000000;1;7500000
Nery Castillo;Right Winger;23;Olympiacos;Super League;Shakhtar D.;Premier Liga;2007-2008;3000000;15000000;4;12000000
Rafael van der Vaart;Attacking Midfield;25;Hamburger SV;1.Bundesliga;Real Madrid;LaLiga;2008-2009;23000000;15000000;-0.347826086956522;-8000000
James Milner;Central Midfield;22;Newcastle;Premier League;Aston Villa;Premier League;2008-2009;8500000;15000000;0.764705882352941;6500000
Wilson Palacios;Defensive Midfield;24;Wigan;Premier League;Spurs;Premier League;2008-2009;3500000;15000000;3.28571428571429;11500000
Wesley Sneijder;Attacking Midfield;25;Real Madrid;LaLiga;Inter;Serie A;2009-2010;25000000;15000000;-0.4;-10000000
Klaas-Jan Huntelaar;Centre-Forward;26;Real Madrid;LaLiga;AC Milan;Serie A;2009-2010;20000000;15000000;-0.25;-5000000
Álvaro Negredo;Centre-Forward;24;Real Madrid;LaLiga;Sevilla FC;LaLiga;2009-2010;12000000;15000000;0.25;3000000
Ricardo Oliveira;Centre-Forward;29;Real Betis;LaLiga2;Al-Jazira;United Arab Emirates;2009-2010;10000000;15000000;0.5;5000000
Raúl Albiol;Centre-Back;23;Valencia CF;LaLiga;Real Madrid;LaLiga;2009-2010;9000000;15000000;0.666666666666667;6000000
Robert Acquafresca;Centre-Forward;21;Inter;Serie A;Genoa;Serie A;2009-2010;8000000;15000000;0.875;7000000
Milos Krasic;Central Midfield;25;CSKA Moscow;Premier Liga;Juventus;Serie A;2010-2011;15000000;15000000;0;0
Dmytro Chygrynskiy;Centre-Back;23;FC Barcelona;LaLiga;Shakhtar D.;Premier Liga;2010-2011;8000000;15000000;0.875;7000000
Mirko Vucinic;Second Striker;27;AS Roma;Serie A;Juventus;Serie A;2011-2012;22000000;15000000;-0.318181818181818;-7000000
Romelu Lukaku;Centre-Forward;18;RSC Anderlecht;Jupiler Pro League;Chelsea;Premier League;2011-2012;15000000;15000000;0;0
Domenico Criscito;Left-Back;24;Genoa;Serie A;Zenit S-Pb;Premier Liga;2011-2012;12500000;15000000;0.2;2500000
Yuri Zhirkov;Left Midfield;27;Chelsea;Premier League;Anzhi;Premier Liga;2011-2012;12000000;15000000;0.25;3000000
Alexandre Pato;Centre-Forward;23;AC Milan;Serie A;Corinthians;Série A;2012-2013;28500000;15000000;-0.473684210526316;-13500000
Lukas Podolski;Centre-Forward;27;1. FC Köln;2.Bundesliga;Arsenal;Premier League;2012-2013;20000000;15000000;-0.25;-5000000
Daniel Sturridge;Centre-Forward;23;Chelsea;Premier League;Liverpool;Premier League;2012-2013;16000000;15000000;-0.0625;-1000000
Christopher Samba;Centre-Back;28;Anzhi;Premier Liga;QPR;Premier League;2012-2013;15000000;15000000;0;0
Jack Rodwell;Defensive Midfield;21;Everton;Premier League;Man City;Premier League;2012-2013;15000000;15000000;0;0
Samir Handanovic;Goalkeeper;28;Udinese Calcio;Serie A;Inter;Serie A;2012-2013;15000000;15000000;0;0
Igor Denisov;Defensive Midfield;29;Anzhi;Premier Liga;Dinamo Moscow;Premier Liga;2013-2014;16000000;15000000;-0.0625;-1000000
Igor Denisov;Defensive Midfield;29;Zenit S-Pb;Premier Liga;Anzhi;Premier Liga;2013-2014;16000000;15000000;-0.0625;-1000000
Moubarak Boussoufa;Attacking Midfield;29;Anzhi;Premier Liga;Loko Moscow;Premier Liga;2013-2014;14000000;15000000;0.0714285714285714;1000000
